epoch,step,train_loss_epoch,train_loss_step
612,6129,2.472918748855591,
613,6139,2.4194695949554443,
614,6149,,5.270957946777344
614,6149,2.3703887462615967,
615,6159,2.326378107070923,
616,6169,2.2853684425354004,
617,6179,2.249183177947998,
618,6189,2.2163431644439697,
619,6199,,4.180171966552734
619,6199,2.18595814704895,
620,6209,2.159262180328369,
621,6219,2.134294033050537,
622,6229,2.1120059490203857,
623,6239,2.091531276702881,
624,6249,,3.405311107635498
624,6249,2.073495626449585,
625,6259,2.0569188594818115,
626,6269,2.041804313659668,
627,6279,2.029233932495117,
628,6289,2.0171756744384766,
629,6299,,2.853409767150879
629,6299,2.006256341934204,
630,6309,1.9964312314987183,
631,6319,1.9869543313980103,
632,6329,1.979636311531067,
633,6339,1.9725792407989502,
634,6349,,2.4555888175964355
634,6349,1.9666249752044678,
635,6359,1.9606138467788696,
636,6369,1.9559400081634521,
637,6379,1.9517812728881836,
638,6389,1.9474895000457764,
639,6399,,2.1702382564544678
639,6399,1.9437907934188843,
640,6409,1.9401943683624268,
641,6419,1.937238335609436,
642,6429,1.9344696998596191,
643,6439,1.932376742362976,
644,6449,,1.955990195274353
644,6449,1.9301044940948486,
645,6459,1.9282801151275635,
646,6469,1.926905870437622,
647,6479,1.925323486328125,
648,6489,1.9238290786743164,
649,6499,,1.8011248111724854
649,6499,1.9230124950408936,
650,6509,1.9219838380813599,
651,6519,1.9215503931045532,
652,6529,1.9207218885421753,
653,6539,1.9199408292770386,
654,6549,,1.6936293840408325
654,6549,1.919203758239746,
655,6559,1.918515682220459,
656,6569,1.9183590412139893,
657,6579,1.9178375005722046,
658,6589,1.9175306558609009,
659,6599,,1.6094900369644165
659,6599,1.9171415567398071,
660,6609,1.9167792797088623,
661,6619,1.9164371490478516,
662,6629,1.9161183834075928,
663,6639,1.9158806800842285,
664,6649,,1.544321060180664
664,6649,1.9156551361083984,
665,6659,1.9154462814331055,
666,6669,1.9152495861053467,
667,6679,1.9157601594924927,
668,6689,1.9156681299209595,
669,6699,,1.5053515434265137
669,6699,1.9155781269073486,
670,6709,1.9154915809631348,
671,6719,1.9154120683670044,
672,6729,1.9153343439102173,
673,6739,1.9152486324310303,
674,6749,,1.4779268503189087
674,6749,1.9151896238327026,
675,6759,1.915113925933838,
676,6769,1.9150543212890625,
677,6779,1.9149949550628662,
678,6789,1.9152119159698486,
679,6799,,1.4560753107070923
679,6799,1.9151769876480103,
680,6809,1.9151439666748047,
681,6819,1.9151101112365723,
682,6829,1.91507887840271,
683,6839,1.9150463342666626,
684,6849,,1.4426008462905884
684,6849,1.9150171279907227,
685,6859,1.9149876832962036,
686,6869,1.9149588346481323,
687,6879,1.914932370185852,
688,6889,1.9152320623397827,
689,6899,,1.434603214263916
689,6899,1.9152175188064575,
690,6909,1.9156873226165771,
691,6919,1.9156861305236816,
692,6929,1.9156849384307861,
693,6939,1.9156848192214966,
694,6949,,1.4483082294464111
694,6949,1.9156864881515503,
695,6959,1.915417194366455,
